Dragonstone bolt tips | Qty: 10–30 | Rarity: 1/19 | GE: 8,950–26,850 | Alch: 4,000–12,000
Dragonstone bolt tips | Qty: 36 | Rarity: 1/19 | GE: 32,220 | Alch: 14,400
Mystic robe bottom | Qty: 1 | Rarity: 1/19 | GE: 47,276 | Alch: 48,000
Amulet of glory | Qty: 3&#160;(noted) | Rarity: 1/19 | GE: 35,676 | Alch: 31,725
Dragonstone amulet | Qty: 2&#160;(noted) | Rarity: 1/19 | GE: 23,158 | Alch: 21,150
Dragon arrow | Qty: 100–250 | Rarity: 1/19 | GE: 184,300–460,750 | Alch: 48,000–120,000
Dragonstone bolts | Qty: 10–40 | Rarity: 1/19 | GE: 10,000–40,000 | Alch: 5,800–23,200
Dragon longsword | Qty: 1 | Rarity: 1/19 | GE: 59,156 | Alch: 60,000
Dragon dagger(p++) | Qty: 3&#160;(noted) | Rarity: 1/19 | GE: 59,241 | Alch: 43,200
Dragon dart | Qty: 100–250 | Rarity: 1/19 | GE: 302,500–756,250 | Alch: 30,000–75,000
Dragonstone | Qty: 3&#160;(noted) | Rarity: 1/19 | GE: 34,176 | Alch: 18,000
Dragon dart tip | Qty: 100–350 | Rarity: 1/19 | GE: 317,500–1,111,250 | Alch: 15,000–52,500
Dragon arrowtips | Qty: 100–350 | Rarity: 1/19 | GE: 187,200–655,200 | Alch: 30,000–105,000
Dragon javelin heads | Qty: 25–35 | Rarity: 1/19&#91;d 1&#93; | GE: 22,300–31,220 | Alch: 29,250–40,950
Babydragon bones | Qty: 100–300&#160;(noted) | Rarity: 1/19 | GE: 96,100–288,300 | Alch: 0
Dragon bones | Qty: 50–100&#160;(noted) | Rarity: 1/19 | GE: 140,800–281,600 | Alch: 4,800–9,600
Magic seed | Qty: 1 | Rarity: 1/19 | GE: 92,159 | Alch: 253
Snapdragon seed | Qty: 6 | Rarity: 1/19 | GE: 245,244 | Alch: 216
Summer pie | Qty: 15&#160;(noted) | Rarity: 1/19 | GE: 8,895 | Alch: 1,260
